tablename,sql_statement
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1979b775-b47e-54e2-93e2-17982a77787b', '2f21dd49-de22-5779-9c8f-fea2c311ca02', 'de446ab5-1774-599f-9ec2-89735259618f', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1bf1ecdf-525a-5cbd-8c6a-0ad5ea94321a', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '17c60ccb-402d-52f1-a71b-abd4e79568de', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('1ebebdfc-69d8-5caa-8331-636a6ca00e0b', 'b4157e88-6142-5d67-956a-a43b8f059148', '82f508c0-6ced-5b31-8a1e-bf6d9d66bdd5', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('20b6d45a-e161-56d0-a378-e7b3f66282bf', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('27369b87-be5f-517e-a424-49f824d9a5b3', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('30e2e234-4b68-502c-97e9-2a2e19ce0fc4', 'c6779c86-c683-5e9d-9049-8da4dac19f52', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-22 11:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('31252ff3-6536-5bb8-84fb-15a3eadf50d8', '75908dd3-f8c4-5e5b-b11e-91a29e816b4b', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-21 10:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('3501b01b-8b25-52de-bdff-339bb9b286f3', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('362b04b9-dc32-5c86-92f6-0e4d9921d0c6', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', 'ec88a567-d365-538a-9df6-6214908dcc40', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('383bd5a4-7bc8-5511-9091-0f04e452c449', '3a599694-d834-5b68-bfd4-0588532682b2', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('3d740fba-167c-5cd2-a82a-43435ef540cf', '18d2e333-d87a-5265-b7e4-2b332ad58874', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-29 15:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('3e081896-a7eb-5be6-8aeb-1c466b28b25e', '75908dd3-f8c4-5e5b-b11e-91a29e816b4b', 'b64bcfa5-c9e0-5907-8f39-22eb4c80fc6d', '2026-06-21 10:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('3e313870-fe9b-546a-8402-983b575f6b53', '4c854bf7-d92e-57b6-8b18-45be26dbfc1a', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-24 09:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('40582e57-aee5-5762-9219-a0a2fa0cce17', '18d2e333-d87a-5265-b7e4-2b332ad58874', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-29 15:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('424b8e32-7aca-562e-9b52-0e00ab94902f', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', 'eabe8433-844d-57c8-93c5-a451778f6b1e', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('442be241-2df1-562a-809b-6ca498329243', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '4b2d2857-16f0-501a-9c56-f196f4f3ee9f', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('45365f19-cb82-55d9-829f-34b4a30ea078', '4c854bf7-d92e-57b6-8b18-45be26dbfc1a', 'b64bcfa5-c9e0-5907-8f39-22eb4c80fc6d', '2026-06-24 09:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('45f18864-4d71-5d7c-9049-f284515b2f52', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '4b2d2857-16f0-501a-9c56-f196f4f3ee9f', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('46ff57c0-7d2a-5afe-b0f0-facad7293900', '7a9d1a07-3b92-501d-a910-ff8947451623', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-20 20:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('47a53220-9a7a-5b01-9406-4919349a2dd6', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('47dd5b51-1ffb-5321-8573-10a664a171e5', 'b4157e88-6142-5d67-956a-a43b8f059148', '39431362-143d-5960-8b5d-647c21229e00', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('4b739f97-c476-5d3e-9c38-c633bdc96134', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('4bd679f3-f773-58d4-8c93-b52a21766f06', '18d2e333-d87a-5265-b7e4-2b332ad58874', '17c60ccb-402d-52f1-a71b-abd4e79568de', '2026-06-29 15:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('4dd0dc85-3b5d-509f-b542-4722a22d161b', '3a599694-d834-5b68-bfd4-0588532682b2', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('595c5f63-ff2d-5bf5-8555-ff02677abb8b', '28d79746-4055-5b2c-aece-d37ac1512c23', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('5a816720-0192-5c71-9421-6e8bf7c09b2b', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', '6a20fca4-1847-59a7-bef0-9a4f50cf394f', '2026-06-18 17:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('5ad6d528-06ff-52ff-a78b-c07a3f2d567b', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', '5e5e8c92-e428-553d-8eb0-83dca5aab6ea', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('5bb91af8-8400-52b0-aa87-969555be4171', '7a9d1a07-3b92-501d-a910-ff8947451623', 'f1688f25-6602-5f02-8c17-04d0722ed018', '2026-06-20 20:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('5c85e8af-bf44-5b22-ab27-2823cb163e82', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', 'f1688f25-6602-5f02-8c17-04d0722ed018', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('60a40e78-3b15-5d2f-b0f6-f8ff776f8f67', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('620b53ae-72e8-5f32-8c45-f2bb7096d4ca', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', 'ec88a567-d365-538a-9df6-6214908dcc40', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('670594dc-4f15-5db3-9cda-66295ff286f3', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('69a1df62-d705-51dd-9ded-f71e925bc3c3', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '6a20fca4-1847-59a7-bef0-9a4f50cf394f', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('6bfe5877-8f31-5f36-bd6f-dd9de0954ac3', 'c6779c86-c683-5e9d-9049-8da4dac19f52', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-22 11:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('6c0b6572-af88-55ca-9242-728fbe43dee3', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '17c60ccb-402d-52f1-a71b-abd4e79568de', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('6c1968a7-ef44-51d2-adc7-c162533c4c25', '2f21dd49-de22-5779-9c8f-fea2c311ca02', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('6c1c7455-a2c7-5869-a50b-85fafb0f75df', '18d2e333-d87a-5265-b7e4-2b332ad58874', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-29 15:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('6e7da6f6-0570-5770-b159-cd88676dba07', '3a599694-d834-5b68-bfd4-0588532682b2', 'ec88a567-d365-538a-9df6-6214908dcc40', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('7002c840-6a53-531a-b54d-cb41504692a7', '4c854bf7-d92e-57b6-8b18-45be26dbfc1a', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-24 09:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('702c5677-eff7-5156-9514-eb115cf8fc1c', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('7cffd3d1-6ce6-579b-b28b-eb659339718d', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', 'f1688f25-6602-5f02-8c17-04d0722ed018', '2026-06-18 17:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('820050b9-396a-5c93-a15f-16a584e007e5', 'b4157e88-6142-5d67-956a-a43b8f059148', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('84593c3d-09c6-525a-bd62-aa7aa027c053', '28d79746-4055-5b2c-aece-d37ac1512c23', '5e5e8c92-e428-553d-8eb0-83dca5aab6ea', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('8775fa29-9c2a-5fb9-92af-003dda5cc410', '4c854bf7-d92e-57b6-8b18-45be26dbfc1a', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-24 09:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('8b57e305-16cd-5d5b-94d0-0564224cb578', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', '9c2b8656-23fa-540a-89fb-52a8237998cb', '2026-06-18 17:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('8e8f4da6-2047-528e-9a95-d7665c3f2b76', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '2184a872-fcf3-5c92-a0ed-a48bc01af254', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('92de96ff-6c84-58e7-993c-e1dcd8795d99', '28d79746-4055-5b2c-aece-d37ac1512c23', '82f508c0-6ced-5b31-8a1e-bf6d9d66bdd5', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('952a423d-5ab6-5ca6-9be4-b41a91153563', '75dcaaee-6a69-52a3-b59a-f955e3cc510f', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-24 12:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('9d174cd3-d07f-5f45-b433-8c3f755002e2', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('9e11ae92-87b9-5031-afaa-b4d80e86816d', '75908dd3-f8c4-5e5b-b11e-91a29e816b4b', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-21 10:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a061ac17-0551-5c0e-a96f-f74a555f7010', '2f21dd49-de22-5779-9c8f-fea2c311ca02', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a0c12fc3-7094-50bf-9c0d-fb43580942bd', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-18 17:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a0c65149-bb8a-5b1f-9f88-c527b4b188f3', '3a599694-d834-5b68-bfd4-0588532682b2', '5e5e8c92-e428-553d-8eb0-83dca5aab6ea', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a3cda500-5eca-5ac6-83e9-cb0527fc8429', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a4cb56a0-2f11-5ef1-a975-7d24c71700e2', '28d79746-4055-5b2c-aece-d37ac1512c23', 'eabe8433-844d-57c8-93c5-a451778f6b1e', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('a6c78782-078a-5d90-8697-344b094d57cc', '3a599694-d834-5b68-bfd4-0588532682b2', '39431362-143d-5960-8b5d-647c21229e00', '2026-06-17 08:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('acb87626-ad9b-547d-a477-667d4e6f3292', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', 'ab6a7953-9869-5067-a715-7769252b6c26', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('adb01ac1-3a0a-5e79-9f03-035b07587608', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', '5e5e8c92-e428-553d-8eb0-83dca5aab6ea', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('b1cbbb46-4b0d-5b41-992b-6d0607a7929b', 'b4157e88-6142-5d67-956a-a43b8f059148', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('b254cd5f-108b-5452-bcdf-b5374434764c', '5ea032d5-6f8d-5b70-9b97-30281b21ae77', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-21 19:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('b445eed5-094d-5199-8769-436cad39714f', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('b4694374-547e-5227-86b5-57641f1e8f21', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('b6dfc711-18a6-517e-8e21-49b2f1785dd4', 'c6779c86-c683-5e9d-9049-8da4dac19f52', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-22 11:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('bbc05944-ad08-585e-a7cd-04cb3b1c2367', '75dcaaee-6a69-52a3-b59a-f955e3cc510f', 'b64bcfa5-c9e0-5907-8f39-22eb4c80fc6d', '2026-06-24 12:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('bbcc29d9-19ab-50c8-81c5-6db8835983c3', '28d79746-4055-5b2c-aece-d37ac1512c23', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-18 10:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('bbe57836-321e-5e29-864d-9c78ea26b983', 'c6779c86-c683-5e9d-9049-8da4dac19f52', 'b64bcfa5-c9e0-5907-8f39-22eb4c80fc6d', '2026-06-22 11:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('bc6ee091-bc96-58c9-9ed8-ff0278fea93d', '75908dd3-f8c4-5e5b-b11e-91a29e816b4b', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-21 10:45:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c0ecac10-a7d7-5892-98a9-262ae6e818c3', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c55205c5-2627-550e-be46-1de88f00939b', '2f21dd49-de22-5779-9c8f-fea2c311ca02', '6a20fca4-1847-59a7-bef0-9a4f50cf394f', '2026-06-28 14:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c579b0d7-c6a4-5815-8558-8f38a45e295f', '18d2e333-d87a-5265-b7e4-2b332ad58874', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-29 15:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c5ed4e5d-1cdd-5fea-a4ac-c7bc381a225b', 'b4157e88-6142-5d67-956a-a43b8f059148', 'ec88a567-d365-538a-9df6-6214908dcc40', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c65f3baf-3cc2-5276-9040-afd02ef9f84f', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', '39431362-143d-5960-8b5d-647c21229e00', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c725fae5-d2f6-5ce9-b572-0b3b8ee80f2e', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', '17c60ccb-402d-52f1-a71b-abd4e79568de', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('c97b4223-2ddc-5be8-a464-1ee61691f9fe', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', '6a20fca4-1847-59a7-bef0-9a4f50cf394f', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('cccfbcc9-ab10-51a5-8ce9-fbc44d3ea40e', 'd9b812dc-194e-5d91-bb27-f8c516f7be23', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-18 17:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('cf495bc2-8516-5155-82b1-a726ad35cb9c', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('cfaf3520-9552-5335-9ca6-08210cfea089', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', 'ec88a567-d365-538a-9df6-6214908dcc40', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('d1f9f17c-4eb5-5ce8-926d-6562ad932a94', '89f220d9-e2a1-53e9-8a56-cb1bcb524383', '3875e58e-1aaf-503b-9975-57353ee608b5', '2026-06-27 12:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('d324775a-d205-52ba-b63d-4cb7880ea372', 'b4157e88-6142-5d67-956a-a43b8f059148', '5e5e8c92-e428-553d-8eb0-83dca5aab6ea', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('d57956c2-6e44-5172-beff-7dcf21884682', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', 'a82bd13f-54bb-53cb-bca5-2d3ef7ec5333', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('d6f0de55-fcff-544d-93c3-6d47cb66b174', 'b5a6ece7-65c9-5b89-8606-6587d6bf3ce6', '9c2b8656-23fa-540a-89fb-52a8237998cb', '2026-06-23 18:05:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('d78a801f-a653-5ab0-8fe4-aee450a100b0', 'b4157e88-6142-5d67-956a-a43b8f059148', '576872c0-f337-5ba7-9829-c94744a9c0d4', '2026-06-20 09:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('da402d8e-da56-5321-98b9-5b8bb42c133d', 'ee53cf88-96a1-5d73-bde6-47072fd43ed6', '82f508c0-6ced-5b31-8a1e-bf6d9d66bdd5', '2026-06-21 11:47:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('dad07fce-2c98-57ca-af73-39860546c8b6', 'b952ce52-be22-56f9-bb5c-ba2500b8cbe9', 'de446ab5-1774-599f-9ec2-89735259618f', '2026-06-29 13:41:00+00');"
channel_members,"INSERT INTO public.channel_members (id, channel_id, user_id, joined_at) VALUES ('dccc3132-d83c-5f8d-a485-8953d4afa749', '3a599694-d834-5b68-bfd4-0588532682b2', '23b4137c-c4fa-508d-9c1c-0bcbebc02f68', '2026-06-17 08:47:00+00');"
